Fecha,Anio,Mes,Sembrada,Cosechada,Siniestrada,Volumenproduccion,Valorproduccion,Rendimiento,Precio,share_mes,Frecuencia,TipoDato
2007-04-01,2007,4,2167.58,1025.76,0.0,1090.9884271932985,10837788.959478712,1.0403064414313012,9845.808798078499,0.1068786524715385,Mensual,Estimado
2007-05-01,2007,5,2167.58,1025.76,0.0,984.5208049741375,9780148.390735691,0.9387847841545063,9845.808798078499,0.0964485546712283,Mensual,Estimado
2007-06-01,2007,6,2167.58,1025.76,0.0,809.9627534126341,8046103.118717247,0.7723358458185592,9845.808798078497,0.0793479797577555,Mensual,Estimado
2007-07-01,2007,7,2167.58,1025.76,0.0,677.2651041357045,6727895.626835687,0.6458026802370302,9845.808798078497,0.0663482580491161,Mensual,Estimado
2007-08-01,2007,8,2167.58,1025.76,0.0,715.8976721859243,7111668.368191082,0.6826405681466845,9845.808798078499,0.0701328965583851,Mensual,Estimado
2007-09-01,2007,9,2167.58,1025.76,0.0,607.6060346520815,6035908.18190983,0.5793796303845645,9845.808798078499,0.0595241091459199,Mensual,Estimado
2007-10-01,2007,10,2167.58,1025.76,0.0,907.0062034391856,9010124.738995295,0.8648711318445137,9845.808798078497,0.0888548387779835,Mensual,Estimado
2007-11-01,2007,11,2167.58,1025.76,0.0,1004.8937689259221,9982531.732561357,0.9582113198553602,9845.808798078497,0.0984443915469866,Mensual,Estimado
2007-12-01,2007,12,2167.58,1025.76,0.0,803.7983838844307,7984866.780778464,0.766457842745648,9845.808798078495,0.0787440874596438,Mensual,Estimado
2008-01-01,2008,1,2228.88,1230.13,0.0,1014.9608832322847,11358248.822011502,0.8180262790097433,11124.313015930067,0.0908033573694716,Mensual,Estimado
2008-02-01,2008,2,2228.88,1230.13,0.0,882.3551983119355,9874281.913117455,0.7111503029962853,11124.313015930067,0.0789398051912835,Mensual,Estimado
2008-03-01,2008,3,2228.88,1230.13,0.0,1034.631566018925,11578379.975123523,0.8338802254143495,11124.313015930067,0.0925631927171044,Mensual,Estimado
2008-04-01,2008,4,2228.88,1230.13,0.0,1004.8401769491343,11244989.77713833,0.8098693107575379,11124.313015930067,0.0898979095589769,Mensual,Estimado
2008-05-01,2008,5,2228.88,1230.13,0.0,906.0927240073764,10139924.390302466,0.7302819957918745,11124.313015930067,0.0810634801667425,Mensual,Estimado
2008-06-01,2008,6,2228.88,1230.13,0.0,670.0686962598832,7498620.986971363,0.5400541157180102,11124.313015930067,0.0599476179759897,Mensual,Estimado
2008-07-01,2008,7,2228.88,1230.13,0.0,491.4833253551408,5500103.495097686,0.39611997120049425,11124.313015930067,0.043970498539051,Mensual,Estimado
