Data Type,Year,Month,Quantity Description,General First Unit of Quantity,Suppressed
General First Unit of Quantity,2016,4,kilograms,80153442,0
General First Unit of Quantity,2016,5,kilograms,63388439,0
General First Unit of Quantity,2016,6,kilograms,30343905,0
General First Unit of Quantity,2016,7,kilograms,46583278,0
General First Unit of Quantity,2016,8,kilograms,51027112,0
General First Unit of Quantity,2016,9,kilograms,65353270,0
General First Unit of Quantity,2016,10,kilograms,58317063,0
General First Unit of Quantity,2016,11,kilograms,58419550,0
General First Unit of Quantity,2016,12,kilograms,77901747,0
General First Unit of Quantity,2017,1,kilograms,90275599,0
General First Unit of Quantity,2017,2,kilograms,66692954,0
General First Unit of Quantity,2017,3,kilograms,73229917,0
General First Unit of Quantity,2017,4,kilograms,69023196,0
General First Unit of Quantity,2017,5,kilograms,56802287,0
General First Unit of Quantity,2017,6,kilograms,51053745,0
General First Unit of Quantity,2017,7,kilograms,46745576,0
General First Unit of Quantity,2017,8,kilograms,48425916,0
General First Unit of Quantity,2017,9,kilograms,55755900,0
General First Unit of Quantity,2017,10,kilograms,65462309,0
General First Unit of Quantity,2017,11,kilograms,69112370,0
General First Unit of Quantity,2017,12,kilograms,82046400,0
General First Unit of Quantity,2018,1,kilograms,93731957,0
General First Unit of Quantity,2018,2,kilograms,80709833,0
General First Unit of Quantity,2018,3,kilograms,89194653,0
General First Unit of Quantity,2018,4,kilograms,88208007,0
General First Unit of Quantity,2018,5,kilograms,75307487,0
General First Unit of Quantity,2018,6,kilograms,67731105,0
General First Unit of Quantity,2018,7,kilograms,55331193,0
General First Unit of Quantity,2018,8,kilograms,59113706,0
General First Unit of Quantity,2018,9,kilograms,59736065,0
General First Unit of Quantity,2018,10,kilograms,77771729,0
General First Unit of Quantity,2018,11,kilograms,71570130,0
General First Unit of Quantity,2018,12,kilograms,85485040,0
General First Unit of Quantity,2019,1,kilograms,117594318,0
General First Unit of Quantity,2019,2,kilograms,91107301,0
General First Unit of Quantity,2019,3,kilograms,105305016,0
General First Unit of Quantity,2019,4,kilograms,90528718,0
General First Unit of Quantity,2019,5,kilograms,69755021,0
General First Unit of Quantity,2019,6,kilograms,34103650,0
General First Unit of Quantity,2019,7,kilograms,50546761,0
General First Unit of Quantity,2019,8,kilograms,60913348,0
General First Unit of Quantity,2019,9,kilograms,83512679,0
General First Unit of Quantity,2019,10,kilograms,94414898,0
General First Unit of Quantity,2019,11,kilograms,85872510,0
General First Unit of Quantity,2019,12,kilograms,92774995,0
General First Unit of Quantity,2020,1,kilograms,116849670,0
General First Unit of Quantity,2020,2,kilograms,80264358,0
General First Unit of Quantity,2020,3,kilograms,77382160,0
General First Unit of Quantity,2020,4,kilograms,71235493,0
General First Unit of Quantity,2020,5,kilograms,79241622,0
General First Unit of Quantity,2020,6,kilograms,70529333,0
General First Unit of Quantity,2020,7,kilograms,62600263,0
General First Unit of Quantity,2020,8,kilograms,68309338,0
General First Unit of Quantity,2020,9,kilograms,82041481,0
General First Unit of Quantity,2020,10,kilograms,105206446,0
General First Unit of Quantity,2020,11,kilograms,94111834,0
General First Unit of Quantity,2020,12,kilograms,96833238,0
General First Unit of Quantity,2021,1,kilograms,131092340,0
General First Unit of Quantity,2021,2,kilograms,96623843,0
General First Unit of Quantity,2021,3,kilograms,111293834,0
General First Unit of Quantity,2021,4,kilograms,90804550,0
General First Unit of Quantity,2021,5,kilograms,85793140,0
General First Unit of Quantity,2021,6,kilograms,78610161,0
General First Unit of Quantity,2021,7,kilograms,71073519,0
General First Unit of Quantity,2021,8,kilograms,58337650,0
General First Unit of Quantity,2021,9,kilograms,78737038,0
General First Unit of Quantity,2021,10,kilograms,91101853,0
General First Unit of Quantity,2021,11,kilograms,94475429,0
General First Unit of Quantity,2021,12,kilograms,97112913,0
General First Unit of Quantity,2022,1,kilograms,106367308,0
General First Unit of Quantity,2022,2,kilograms,60671106,0
General First Unit of Quantity,2022,3,kilograms,86285821,0
General First Unit of Quantity,2022,4,kilograms,77327988,0
General First Unit of Quantity,2022,5,kilograms,59078532,0
General First Unit of Quantity,2022,6,kilograms,39496437,0
General First Unit of Quantity,2022,7,kilograms,53654930,0
General First Unit of Quantity,2022,8,kilograms,72344152,0
General First Unit of Quantity,2022,9,kilograms,87937032,0
General First Unit of Quantity,2022,10,kilograms,102728089,0
General First Unit of Quantity,2022,11,kilograms,91715675,0
General First Unit of Quantity,2022,12,kilograms,108882435,0
General First Unit of Quantity,2023,1,kilograms,119377959,0
General First Unit of Quantity,2023,2,kilograms,95056574,0
General First Unit of Quantity,2023,3,kilograms,126480515,0
General First Unit of Quantity,2023,4,kilograms,107273418,0
General First Unit of Quantity,2023,5,kilograms,93268998,0
General First Unit of Quantity,2023,6,kilograms,69655598,0
General First Unit of Quantity,2023,7,kilograms,55488216,0
General First Unit of Quantity,2023,8,kilograms,69608583,0
General First Unit of Quantity,2023,9,kilograms,92114956,0
General First Unit of Quantity,2023,10,kilograms,98356706,0
General First Unit of Quantity,2023,11,kilograms,93669621,0
General First Unit of Quantity,2023,12,kilograms,103655740,0
General First Unit of Quantity,2024,1,kilograms,121201579,0
General First Unit of Quantity,2024,2,kilograms,106365852,0
General First Unit of Quantity,2024,3,kilograms,116958861,0
General First Unit of Quantity,2024,4,kilograms,101092045,0
General First Unit of Quantity,2024,5,kilograms,71738113,0
General First Unit of Quantity,2024,6,kilograms,46599615,0
General First Unit of Quantity,2024,7,kilograms,48980804,0
General First Unit of Quantity,2024,8,kilograms,73957532,0
General First Unit of Quantity,2024,9,kilograms,85292985,0
General First Unit of Quantity,2024,10,kilograms,109847021,0
General First Unit of Quantity,2024,11,kilograms,96437946,0
General First Unit of Quantity,2024,12,kilograms,87885284,0
